,mois_comptage,comptage_h
0,Janvier,41.149650279942186
1,Février,40.90948343055188
2,Mars,43.44422633638242
3,Avril,48.92599496102296
4,Mai,60.39762106035473
5,Juin,76.416225422275
6,Juillet,69.37211018002486
7,Août,51.34421811467521
8,Septembre,83.45079983055292
9,Octobre,65.57286729541977
10,Novembre,50.25978956835451
11,Décembre,51.75528373790769
