date_comptage,comptage_h
2019-01-01,15.272222222222222
2019-01-02,27.458333333333332
2019-01-03,31.910185185185185
2019-01-04,32.34537037037037
2019-01-05,24.692592592592593
2019-01-06,23.03796296296296
2019-01-07,40.18611111111111
2019-01-08,45.70925925925926
2019-01-09,41.27777777777778
2019-01-10,40.80555555555556
2019-01-11,33.66481481481482
2019-01-12,23.185185185185187
2019-01-13,21.169444444444444
2019-01-14,39.26759259259259
2019-01-15,41.64351851851852
2019-01-16,41.06388888888889
2019-01-17,38.57962962962963
2019-01-18,37.452777777777776
2019-01-19,19.88888888888889
2019-01-20,16.812962962962963
2019-01-21,35.391666666666666
2019-01-22,22.182407407407407
2019-01-23,24.794444444444444
2019-01-24,31.767592592592592
2019-01-25,30.425
2019-01-26,21.14351851851852
2019-01-27,13.09074074074074
2019-01-28,35.7
2019-01-29,29.293518518518518
2019-01-30,22.474074074074075
2019-01-31,29.772222222222222
2019-02-01,29.52037037037037
2019-02-02,18.946296296296296
2019-02-03,20.912037037037038
2019-02-04,31.075925925925926
2019-02-05,37.64907407407407
2019-02-06,34.34166666666667
2019-02-07,37.803703703703704
2019-02-08,33.71018518518518
2019-02-09,25.358333333333334
2019-02-10,12.040740740740741
2019-02-11,35.898148148148145
2019-02-12,41.041666666666664
2019-02-13,40.44537037037037
2019-02-14,42.92777777777778
2019-02-15,42.28055555555556
2019-02-16,34.19722222222222
2019-02-17,34.837037037037035
2019-02-18,43.93240740740741
2019-02-19,45.007407407407406
2019-02-20,45.375
2019-02-21,46.90833333333333
2019-02-22,45.09537037037037
2019-02-23,34.727777777777774
2019-02-24,33.330555555555556
2019-02-25,40.74629629629629
2019-02-26,44.37777777777778
2019-02-27,44.14259259259259
2019-02-28,34.989814814814814
2019-03-01,28.173148148148147
2019-03-02,22.35925925925926
2019-03-03,20.075
2019-03-04,24.956481481481482
2019-03-05,31.503703703703703
2019-03-06,29.47685185185185
2019-03-07,33.59814814814815
2019-03-08,35.1462962962963
2019-03-09,24.330555555555556
2019-03-10,20.34351851851852
2019-03-11,36.285185185185185
2019-03-12,37.047222222222224
2019-03-13,37.67314814814815
2019-03-14,25.98611111111111
2019-03-15,36.39351851851852
2019-03-16,29.397222222222222
2019-03-17,20.125
2019-03-18,41.55462962962963
2019-03-19,46.525
2019-03-20,46.35462962962963
2019-03-21,49.568518518518516
2019-03-22,47.59444444444444
2019-03-23,32.648148148148145
2019-03-24,27.79074074074074
2019-03-25,43.69444444444444
2019-03-26,48.471296296296295
2019-03-27,48.19722222222222
2019-03-28,48.27777777777778
2019-03-29,48.52685185185185
2019-03-30,40.05833333333333
2019-03-31,37.8975791433892
2019-04-01,49.24907407407407
2019-04-02,32.13703703703704
2019-04-03,41.38425925925926
2019-04-04,47.46574074074074
2019-04-05,45.56666666666667
2019-04-06,36.037962962962965
2019-04-07,30.017592592592592
2019-04-08,46.04074074074074
2019-04-09,44.382407407407406
2019-04-10,39.224074074074075
2019-04-11,50.98796296296296
