,nom_jour_ferie,comptage_h
0,Jour non férié,56.35564552625629
1,11 novembre,33.45848765432099
2,14 juillet,44.786144578313255
3,1er janvier,19.526707163803938
4,1er mai,35.925307765151516
5,8 mai,42.37999001996008
6,Ascension,51.38485451380254
7,Assomption,35.29398148148148
8,Jour de Noël,14.612068965517242
9,Lundi de Pentecôte,52.89144411473789
10,Lundi de Pâques,30.862926136363637
11,Toussaint,24.41515544041451
