,jour_comptage,heure_comptage,comptage_h
0,Lundi,0,10.227196869425102
1,Lundi,1,5.158379373848987
2,Lundi,2,2.960695171778788
3,Lundi,3,1.826111974221762
4,Lundi,4,1.7291150901030572
5,Lundi,5,4.16370332009897
6,Lundi,6,11.692502445480176
7,Lundi,7,43.57607319599494
8,Lundi,8,137.9133237410072
9,Lundi,9,135.02727900552486
10,Lundi,10,61.04413880416643
11,Lundi,11,49.24533839779006
12,Lundi,12,60.24928053413146
13,Lundi,13,62.55236505927034
14,Lundi,14,59.5275635861434
15,Lundi,15,59.77263048857685
16,Lundi,16,71.55072213591116
17,Lundi,17,105.80690647482014
18,Lundi,18,159.24651698330456
19,Lundi,19,148.29787601450528
20,Lundi,20,85.50279040331397
21,Lundi,21,46.89995973077144
22,Lundi,22,34.17893101662735
23,Lundi,23,24.55620757105051
24,Mardi,0,13.051465947558667
25,Mardi,1,5.913020923396161
26,Mardi,2,3.2916138693698884
27,Mardi,3,1.9472441398375857
28,Mardi,4,1.8979497811564157
29,Mardi,5,4.480135882081989
30,Mardi,6,12.760969710929402
31,Mardi,7,48.84940105966367
32,Mardi,8,153.7901561869633
33,Mardi,9,149.9815060206257
34,Mardi,10,67.73378643013477
35,Mardi,11,53.5757226764943
36,Mardi,12,65.86151897276444
37,Mardi,13,66.71085516844227
38,Mardi,14,63.74751021817973
39,Mardi,15,62.95595094144066
40,Mardi,16,75.09771968213751
41,Mardi,17,111.66046324037796
42,Mardi,18,168.92274010485684
43,Mardi,19,161.54878470222326
44,Mardi,20,95.4817459403432
45,Mardi,21,52.20458340530892
46,Mardi,22,40.4447322970639
47,Mardi,23,34.681559427289976
48,Mercredi,0,18.895748465201674
49,Mercredi,1,8.509323541224395
50,Mercredi,2,4.48815736651947
51,Mercredi,3,2.378446546288335
52,Mercredi,4,2.1153206855046713
53,Mercredi,5,4.481343497449418
54,Mercredi,6,12.289906574196136
55,Mercredi,7,46.10637322329207
56,Mercredi,8,140.21155830753355
57,Mercredi,9,141.9111442329741
58,Mercredi,10,67.7461454691351
59,Mercredi,11,55.2582253811762
60,Mercredi,12,70.75709453649029
61,Mercredi,13,71.80581188743051
62,Mercredi,14,67.70805388363428
63,Mercredi,15,64.57138763111136
64,Mercredi,16,74.1473285943591
65,Mercredi,17,106.84504700756708
66,Mercredi,18,162.99604357798165
67,Mercredi,19,157.9818244366722
68,Mercredi,20,95.66970426409904
69,Mercredi,21,53.28464183381089
70,Mercredi,22,42.22358468943388
71,Mercredi,23,37.91644699140401
72,Jeudi,0,21.73661584317322
73,Jeudi,1,9.878317189201582
74,Jeudi,2,5.215693012600229
75,Jeudi,3,2.7077276644642345
76,Jeudi,4,2.2865597885422053
77,Jeudi,5,4.652338811630847
78,Jeudi,6,12.456211929663256
79,Jeudi,7,46.02137685323526
80,Jeudi,8,142.24259844782983
81,Jeudi,9,143.85653523393495
82,Jeudi,10,68.5716091227667
83,Jeudi,11,56.166130514705884
84,Jeudi,12,70.76091703056768
85,Jeudi,13,70.60879057742028
86,Jeudi,14,67.4562219924164
87,Jeudi,15,65.9587474863545
88,Jeudi,16,77.90810872938337
89,Jeudi,17,112.16126436781609
90,Jeudi,18,161.4248922104053
91,Jeudi,19,154.49597701149426
92,Jeudi,20,94.38969024768691
93,Jeudi,21,53.944035853826705
94,Jeudi,22,42.95829024474319
95,Jeudi,23,38.22948747414387
96,Vendredi,0,24.453568732214414
97,Vendredi,1,12.447109577221743
98,Vendredi,2,7.021851638872915
99,Vendredi,3,3.4871175523349436
