annee,semaine,temp,pluie,comptage,conges_0,conges_1,feries_0,feries_1,mois_aout,mois_avril,mois_decembre,mois_fevrier,mois_janvier,mois_juillet,mois_juin,mois_mai,mois_mars,mois_novembre,mois_octobre,mois_septembre,jour_dimanche,jour_jeudi,jour_lundi,jour_mardi,jour_mercredi,jour_samedi,jour_vendredi,ouvre_0,ouvre_1
2019,5,3.262500000000017,0.0,20.912037037037038,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,6,1.40000000000002,-0.0125,31.075925925925926,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,6,4.162500000000023,0.0,37.64907407407407,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2019,6,6.525000000000034,0.0125,34.34166666666667,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2019,6,8.71250000000002,0.15,37.803703703703704,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,6,8.337500000000027,0.0375,33.71018518518518,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019,6,9.312500000000021,-0.0125,25.358333333333334,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019,6,7.912500000000022,0.6,12.040740740740741,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,7,5.27500000000002,-0.025,35.898148148148145,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,7,2.7500000000000284,0.0,41.041666666666664,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2019,7,2.3125000000000284,0.0,40.44537037037037,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2019,7,5.03750000000003,0.0,42.92777777777778,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,7,6.250000000000021,0.0,42.28055555555556,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019,7,6.700000000000031,0.0,34.19722222222222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019,7,8.27500000000002,0.0,34.837037037037035,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,8,7.82500000000003,0.0,43.93240740740741,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,8,7.350000000000023,-0.025,45.007407407407406,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2019,8,5.862500000000026,0.0,45.375,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2019,8,8.00000000000002,0.0,46.90833333333333,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,8,8.93750000000002,0.0,45.09537037037037,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019,8,10.325000000000031,0.0,34.727777777777774,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019,8,8.612500000000018,0.0,33.330555555555556,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2019,9,9.987500000000018,0.0,40.74629629629629,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2019,9,10.012500000000026,0.0,44.37777777777778,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2019,9,10.150000000000007,0.0,44.14259259259259,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2019,9,10.062500000000028,0.375,34.989814814814814,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2019,9,9.887500000000031,0.0375,28.173148148148147,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019,9,9.787500000000023,0.06666666666666667,22.35925925925926,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019,9,11.93750000000002,0.025,20.075,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2019,10,9.000000000000021,0.0125,24.956481481481482,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2019,10,7.787500000000031,0.0125,31.503703703703703,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
