,nom_site,comptage_h,id_site,latitude,longitude
128,Pont de la Concorde S-N,1542164,100056047,48.86378,2.32003
129,Pont des Invalides,166913,100056223,48.86281,2.31037
130,Pont des Invalides,166913,100056046,48.86279,2.31055
131,Pont des Invalides N-S,468083,100056223,48.86284,2.310345
132,Pont des Invalides S-N,527056,100056046,48.86282,2.31061
133,Pont du Garigliano,1165386,100047535,48.83994,2.26692
134,Pont du Garigliano,1165386,100047551,48.83992,2.26708
135,Pont du Garigliano NO-SE,2120976,100047535,48.84015,2.26733
136,Pont du Garigliano SE-NO,275645,100047551,48.839883,2.267099
137,Quai d'Orsay,4400277,100056335,48.8629,2.3118
138,Quai des Tuileries,1584221,100056035,48.8635,2.32239
139,Totem 64 Rue de Rivoli,7672814,100050876,48.85735,2.35211
140,Totem 73 boulevard de Sébastopol,9129528,100057445,48.86377,2.35096
141,Totem 85 quai d'Austerlitz,3531115,100057329,48.84201,2.36729
142,Totem Cours la Reine,3501308,100057380,48.86462,2.31444
143,Voie Georges Pompidou,3053447,100042374,48.84837,2.27596
144,face au 4 avenue de la porte de Bagnolet,72386,100056327,48.86461,2.40969
145,face au 40 Quai D'Issy,17598,100056331,48.83421,2.26542
146,face au 70 Quai de Bercy,476543,100047546,48.8295233,2.38699
147,face au 8 avenue de la porte de Charenton,67179,100056226,48.8303305218,2.40055083752
148,pont des Invalides N-S,33570,100056223,48.86284,2.310345
149,pont des Invalides S-N,36429,100056046,48.86282,2.31061
