,id_compteur,nom_compteur,comptage_h,date_heure_comptage,id_site,nom_site,date_inst_site,coord_geo,jour_comptage,date_comptage,heure_comptage,semaine_comptage,mois_comptage,latitude,longitude,conges,nom_jour_ferie,feries,temp,pluie
21,100044494-SC,10  avenue de la Grande Armée SE-NO,7,2019-01-01 21:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",1,2019-01-01,21,1,1,48.874716,2.292439,1,1er janvier,1,7.900000000000034,-0.1
22,100044494-SC,10  avenue de la Grande Armée SE-NO,7,2019-01-01 22:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",1,2019-01-01,22,1,1,48.874716,2.292439,1,1er janvier,1,7.900000000000034,-0.1
23,100044494-SC,10  avenue de la Grande Armée SE-NO,0,2019-01-01 23:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",1,2019-01-01,23,1,1,48.874716,2.292439,1,1er janvier,1,7.900000000000034,-0.1
24,100044494-SC,10  avenue de la Grande Armée SE-NO,1,2019-01-02 00:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,0,1,1,48.874716,2.292439,1,0,0,7.100000000000023,0.0
25,100044494-SC,10  avenue de la Grande Armée SE-NO,4,2019-01-02 01:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,1,1,1,48.874716,2.292439,1,0,0,7.100000000000023,0.0
26,100044494-SC,10  avenue de la Grande Armée SE-NO,0,2019-01-02 02:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,2,1,1,48.874716,2.292439,1,0,0,7.100000000000023,0.0
27,100044494-SC,10  avenue de la Grande Armée SE-NO,0,2019-01-02 03:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,3,1,1,48.874716,2.292439,1,0,0,5.100000000000023,0.0
28,100044494-SC,10  avenue de la Grande Armée SE-NO,0,2019-01-02 04:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,4,1,1,48.874716,2.292439,1,0,0,5.100000000000023,0.0
29,100044494-SC,10  avenue de la Grande Armée SE-NO,1,2019-01-02 05:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,5,1,1,48.874716,2.292439,1,0,0,5.100000000000023,0.0
30,100044494-SC,10  avenue de la Grande Armée SE-NO,3,2019-01-02 06:00:00+01:00,100044494,10  avenue de la Grande Armée SE-NO,2018-07-27 02:00:00+02:00,"48.874716,2.292439",2,2019-01-02,6,1,1,48.874716,2.292439,1,0,0,5.300000000000011,0.0
