,jour_comptage,comptage_h
0,Lundi,57.60935285781767
1,Mardi,63.1756332682351
2,Mercredi,62.9295727549151
3,Jeudi,63.56335236928144
4,Vendredi,57.64662924984956
5,Samedi,45.634354813580856
6,Dimanche,39.52190156712282
